Algorithm,Dataset,Treatment,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
LR,compas,None,62 (1),66 (1),0 (0),20 (5),24 (8),23 (5),22 (6),27 (6),26 (6)
LR,compas,FairBalance,62 (1),\cellcolor{red!70}65 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}5 (6),\cellcolor{green!70}6 (6),\cellcolor{green!70}9 (6),\cellcolor{green!70}0 (5),\cellcolor{green!70}2 (8),\cellcolor{green!70}4 (5)
LR,compas,FairBalanceClass,\cellcolor{green!70}63 (1),\cellcolor{red!70}64 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}4 (4),\cellcolor{green!70}3 (6),\cellcolor{green!70}7 (5),\cellcolor{green!70}6 (8),\cellcolor{green!70}8 (7),\cellcolor{green!70}10 (8)
LR,adult,None,48 (1),80 (0),9 (0),-28 (0),-45 (1),-21 (0),-10 (1),-16 (3),-10 (0)
LR,adult,FairBalance,\cellcolor{green!70}50 (1),\cellcolor{red!70}78 (0),\cellcolor{red!70}19 (0),\cellcolor{green!70}0 (1),\cellcolor{green!70}0 (3),\cellcolor{green!70}-6 (1),\cellcolor{green!70}1 (3),\cellcolor{green!70}3 (5),\cellcolor{green!70}-3 (1)
LR,adult,FairBalanceClass,\cellcolor{green!70}54 (0),\cellcolor{red!70}74 (0),\cellcolor{red!70}17 (0),\cellcolor{green!70}0 (1),\cellcolor{green!70}0 (2),\cellcolor{green!70}-7 (0),\cellcolor{green!70}0 (1),\cellcolor{green!70}0 (3),\cellcolor{green!70}-5 (1)
LR,german,None,20 (6),70 (2),0 (0),16 (9),26 (15),13 (8),42 (23),51 (24),42 (23)
LR,german,FairBalance,\cellcolor{red!70}4 (6),\cellcolor{red!35}69 (2),\cellcolor{red!70}0 (0),\cellcolor{green!70}0 (2),\cellcolor{green!70}0 (1),\cellcolor{green!70}0 (2),\cellcolor{green!70}0 (1),\cellcolor{green!70}0 (2),\cellcolor{green!70}0 (1)
LR,german,FairBalanceClass,\cellcolor{green!70}51 (4),\cellcolor{red!70}59 (3),\cellcolor{red!70}0 (0),\cellcolor{green!70}2 (8),\cellcolor{green!70}2 (10),\cellcolor{green!70}4 (7),\cellcolor{green!70}9 (9),\cellcolor{green!70}7 (11),\cellcolor{green!70}12 (10)
SVM,compas,None,62 (1),66 (1),0 (0),21 (4),24 (5),23 (5),22 (5),26 (5),25 (6)
SVM,compas,FairBalance,\cellcolor{red!15}62 (1),\cellcolor{red!70}65 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}6 (4),\cellcolor{green!70}5 (6),\cellcolor{green!70}10 (4),\cellcolor{green!70}0 (6),\cellcolor{green!70}2 (6),\cellcolor{green!70}3 (6)
SVM,compas,FairBalanceClass,\cellcolor{green!15}63 (1),\cellcolor{red!70}65 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}3 (9),\cellcolor{green!70}3 (8),\cellcolor{green!70}7 (9),\cellcolor{green!70}-1 (4),\cellcolor{green!70}0 (4),\cellcolor{green!70}2 (4)
SVM,adult,None,48 (1),80 (0),11 (0),-27 (0),-44 (1),-20 (0),-10 (1),-16 (2),-9 (0)
SVM,adult,FairBalance,49 (8),\cellcolor{red!70}79 (0),\cellcolor{red!70}22 (0),\cellcolor{green!70}-8 (8),\cellcolor{green!70}-14 (12),\cellcolor{green!70}-10 (6),\cellcolor{green!70}2 (5),\cellcolor{green!70}4 (9),\cellcolor{green!70}-2 (3)
