Algorithm,Dataset,Treatment,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
LR,compas,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LR,compas,FairBalance,0,0,0,0,0,0,0,0,0
LR,compas,FairBalanceClass,0,0,0,0,0,0,0,0,0
LR,adult,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LR,adult,FairBalance,0,0,0,0,0,0,0,0,0
LR,adult,FairBalanceClass,0,0,0,0,0,0,0,0,0
LR,german,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LR,german,FairBalance,0,0,0,0,0,0,0,0,0
LR,german,FairBalanceClass,0,0,0,0,0,0,0,0,0
SVM,compas,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SVM,compas,FairBalance,0,0,0,0,0,0,0,0,0
SVM,compas,FairBalanceClass,0,0,0,0,0,0,0,0,0
SVM,adult,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SVM,adult,FairBalance,0,0,0,0,0,0,0,0,0
SVM,adult,FairBalanceClass,0,0,0,0,0,0,0,0,0
SVM,german,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SVM,german,FairBalance,0,0,0,0,0,0,0,0,0
SVM,german,FairBalanceClass,0,0,0,0,0,0,0,0,0
DT,compas,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
DT,compas,FairBalance,0,0,0,0,0,0,0,0,0
DT,compas,FairBalanceClass,0,0,0,0,0,0,0,0,0
DT,adult,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
DT,adult,FairBalance,0,0,0,0,0,0,0,0,0
DT,adult,FairBalanceClass,0,0,0,0,0,0,0,0,0
DT,german,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
DT,german,FairBalance,0,0,0,0,0,0,0,0,0
DT,german,FairBalanceClass,0,0,0,0,0,0,0,0,0
RF,compas,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
RF,compas,FairBalance,0,0,0,0,0,0,0,0,0
RF,compas,FairBalanceClass,0,0,0,0,0,0,0,0,0
RF,adult,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
RF,adult,FairBalance,0,0,0,0,0,0,0,0,0
RF,adult,FairBalanceClass,0,0,0,0,0,0,0,0,0
RF,german,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
RF,german,FairBalance,0,0,0,0,0,0,0,0,0
RF,german,FairBalanceClass,0,0,0,0,0,0,0,0,0
NB,compas,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
NB,compas,FairBalance,0,0,0,0,0,0,0,0,0
NB,compas,FairBalanceClass,0,0,0,0,0,0,0,0,0
NB,adult,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
NB,adult,FairBalance,0,0,0,0,0,0,0,0,0
NB,adult,FairBalanceClass,0,0,0,0,0,0,0,0,0
NB,german,None,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
NB,german,FairBalance,0,0,0,0,0,0,0,0,0
NB,german,FairBalanceClass,0,0,0,0,0,0,0,0,0
