Dataset,Algorithm,F1,Accuracy,Sex: AOD,Sex: EOD,Sex: SPD,Race: AOD,Race: EOD,Race: SPD,Age: AOD,Age: EOD,Age: SPD
compas,Reweighing: sex,61 (1),65 (1),5 (9),8 (8),8 (10),22 (3),25 (4),26 (2),,,
compas,Reweighing: race,62 (1),65 (1),23 (3),25 (6),26 (3),1 (4),4 (4),5 (3),,,
compas,AdversialDebiasing: sex,61 (2),66 (1),33 (18),42 (20),35 (16),24 (7),28 (7),27 (7),,,
compas,AdversialDebiasing: race,61 (1),64 (1),21 (10),24 (11),24 (8),8 (24),12 (20),12 (23),,,
compas,RejectOptionClassification: sex,62 (2),65 (0),0 (4),3 (7),3 (4),23 (2),25 (3),26 (2),,,
compas,RejectOptionClassification: race,63 (2),65 (1),24 (3),26 (5),27 (3),0 (3),3 (5),2 (3),,,
compas,FairBalance,63 (2),64 (1),4 (6),4 (7),7 (6),8 (9),9 (9),11 (9),,,
adult,Reweighing: sex,86 (0),78 (0),0 (2),0 (0),6 (1),12 (7),6 (1),12 (3),,,
adult,Reweighing: race,87 (0),80 (0),29 (0),11 (0),22 (0),1 (1),0 (0),4 (1),,,
adult,AdversialDebiasing: sex,86 (0),79 (0),3 (1),1 (0),8 (1),14 (2),8 (1),13 (1),,,
adult,AdversialDebiasing: race,87 (0),80 (0),28 (0),11 (0),22 (0),0 (7),0 (2),3 (3),,,
adult,RejectOptionClassification: sex,76 (1),69 (1),-4 (2),-5 (2),3 (1),17 (4),17 (2),21 (3),,,
adult,RejectOptionClassification: race,79 (0),71 (0),33 (2),30 (2),38 (1),-3 (2),-1 (2),2 (2),,,
adult,FairBalance,82 (0),74 (0),-1 (1),-1 (0),7 (0),0 (1),1 (1),5 (1),,,
german,Reweighing: sex,10 (9),69 (3),-3 (8),-3 (11),-3 (7),,,,21 (12),17 (22),21 (12)
german,Reweighing: age,2 (6),68 (2),0 (4),0 (5),0 (3),,,,0 (2),0 (4),0 (2)
german,AdversialDebiasing: sex,34 (16),63 (8),-44 (78),-54 (96),-39 (69),,,,0 (30),1 (38),2 (27)
german,AdversialDebiasing: age,35 (15),65 (36),7 (39),7 (47),6 (38),,,,-4 (154),-4 (159),-2 (153)
german,RejectOptionClassification: sex,51 (4),59 (1),-1 (14),-1 (15),0 (11),,,,17 (12),12 (16),21 (12)
german,RejectOptionClassification: age,49 (4),59 (3),5 (10),5 (13),7 (11),,,,-4 (10),-6 (20),0 (11)
german,FairBalance,50 (4),60 (2),2 (6),3 (7),4 (7),,,,9 (8),8 (10),13 (9)
