Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,62 (1),\cellcolor{green!70}66 (1),\cellcolor{red!70}1 (0),8 (4),11 (9),12 (3),\cellcolor{red!70}23 (2),\cellcolor{red!70}27 (1),\cellcolor{red!70}26 (2)
compas,Reweighing: race,62 (1),65 (1),\cellcolor{red!70}1 (0),\cellcolor{red!70}23 (4),\cellcolor{red!70}28 (10),\cellcolor{red!70}27 (3),0 (4),4 (5),3 (4)
compas,Fair-SMOTE: sex,63 (0),64 (1),\cellcolor{green!70}165 (24),\cellcolor{green!70}-3 (4),\cellcolor{green!70}-2 (4),\cellcolor{green!70}0 (4),\cellcolor{red!70}13 (11),\cellcolor{red!70}15 (12),\cellcolor{red!70}16 (10)
compas,Fair-SMOTE: race,\cellcolor{green!70}64 (1),65 (1),\cellcolor{green!70}79 (17),\cellcolor{red!70}24 (4),\cellcolor{red!70}27 (5),\cellcolor{red!70}28 (4),-1 (10),4 (7),2 (9)
compas,AdversialDebiasing: sex,61 (3),66 (2),\cellcolor{green!70}246 (46),\cellcolor{red!70}30 (6),\cellcolor{red!70}38 (4),\cellcolor{red!70}33 (5),\cellcolor{red!70}26 (1),\cellcolor{red!70}30 (4),\cellcolor{red!70}29 (1)
compas,AdversialDebiasing: race,62 (4),64 (1),\cellcolor{green!70}208 (3),\cellcolor{red!70}18 (11),\cellcolor{red!70}19 (12),\cellcolor{red!70}21 (11),-3 (8),0 (10),0 (8)
compas,RejectOptionClassification: sex,62 (1),65 (1),\cellcolor{green!70}781 (35),\cellcolor{green!70}0 (2),6 (2),\cellcolor{green!70}3 (1),\cellcolor{red!70}25 (3),\cellcolor{red!70}29 (4),\cellcolor{red!70}29 (2)
compas,RejectOptionClassification: race,\cellcolor{green!70}64 (2),65 (0),\cellcolor{green!70}753 (28),\cellcolor{red!70}21 (6),\cellcolor{red!70}25 (6),\cellcolor{red!70}24 (6),-1 (7),2 (6),1 (8)
compas,FERMI30K,\cellcolor{green!70}63 (1),\cellcolor{red!35}64 (0),\cellcolor{green!70}51 (1),\cellcolor{green!70}0 (2),\cellcolor{green!70}0 (4),\cellcolor{green!70}4 (4),-6 (3),-4 (5),-2 (2)
compas,FERMI10K,\cellcolor{green!70}64 (2),65 (1),\cellcolor{green!70}51 (1),7 (6),9 (5),12 (6),-4 (4),-2 (7),-1 (4)
compas,FairBalance,63 (1),65 (1),1 (0),7 (3),9 (7),11 (4),-2 (5),0 (5),1 (4)
compas,FairBalanceClass,\cellcolor{green!70}63 (0),\cellcolor{red!35}64 (1),1 (0),6 (6),7 (7),9 (5),\cellcolor{red!70}10 (9),\cellcolor{red!70}9 (7),\cellcolor{red!70}14 (9)
adult,Reweighing: sex,\cellcolor{red!70}49 (0),78 (0),\cellcolor{red!70}13 (0),0 (0),0 (1),\cellcolor{green!70}-6 (0),\cellcolor{red!70}-20 (8),\cellcolor{red!70}-32 (12),\cellcolor{red!70}-15 (4)
adult,Reweighing: race,\cellcolor{red!70}48 (0),\cellcolor{green!70}80 (0),\cellcolor{red!70}13 (0),\cellcolor{red!70}-28 (0),\cellcolor{red!70}-46 (0),\cellcolor{red!70}-21 (0),0 (2),0 (3),-3 (1)
adult,Fair-SMOTE: sex,\cellcolor{green!70}54 (0),\cellcolor{red!70}69 (1),\cellcolor{green!70}2599 (26),-1 (2),-2 (2),-9 (2),\cellcolor{red!70}-26 (7),\cellcolor{red!70}-27 (8),\cellcolor{red!70}-30 (6)
adult,Fair-SMOTE: race,\cellcolor{green!70}57 (0),\cellcolor{red!70}73 (0),\cellcolor{green!70}4519 (46),\cellcolor{red!70}-31 (1),\cellcolor{red!70}-35 (1),\cellcolor{red!70}-37 (0),-2 (1),0 (2),\cellcolor{red!70}-9 (1)
adult,AdversialDebiasing: sex,50 (1),79 (0),\cellcolor{green!70}1433 (12),-3 (3),-5 (4),-8 (1),\cellcolor{red!70}-13 (1),\cellcolor{red!70}-20 (2),\cellcolor{red!70}-12 (1)
adult,AdversialDebiasing: race,\cellcolor{red!70}49 (1),\cellcolor{green!70}80 (0),\cellcolor{green!70}1451 (14),\cellcolor{red!70}-29 (2),\cellcolor{red!70}-46 (2),\cellcolor{red!70}-22 (1),0 (1),0 (4),-3 (1)
adult,RejectOptionClassification: sex,\cellcolor{green!70}53 (0),\cellcolor{red!70}69 (2),\cellcolor{green!70}5762 (84),3 (1),3 (1),\cellcolor{green!70}-3 (0),\cellcolor{red!70}-16 (1),\cellcolor{red!70}-15 (4),\cellcolor{red!70}-21 (1)
adult,RejectOptionClassification: race,\cellcolor{green!70}57 (0),\cellcolor{red!70}71 (0),\cellcolor{green!70}5705 (38),\cellcolor{red!70}-34 (1),\cellcolor{red!70}-37 (1),\cellcolor{red!70}-39 (1),2 (2),2 (3),-3 (3)
adult,FERMI30K,\cellcolor{green!70}51 (0),\cellcolor{red!70}63 (0),\cellcolor{green!70}1261 (11),\cellcolor{red!35}3 (2),2 (2),\cellcolor{green!70}-3 (1),\cellcolor{red!70}6 (0),\cellcolor{red!70}7 (2),2 (2)
adult,FERMI10K,\cellcolor{green!70}56 (0),\cellcolor{red!70}69 (0),\cellcolor{green!70}63 (3),\cellcolor{red!70}-26 (2),\cellcolor{red!70}-26 (1),\cellcolor{red!70}-33 (1),\cellcolor{red!70}-9 (2),\cellcolor{red!70}-7 (2),\cellcolor{red!70}-15 (1)
adult,FairBalance,50 (0),79 (0),19 (0),-1 (7),-2 (11),-7 (4),0 (3),1 (6),-4 (2)
adult,FairBalanceClass,\cellcolor{green!70}54 (0),\cellcolor{red!70}74 (0),\cellcolor{red!70}17 (0),\cellcolor{green!35}0 (1),-1 (1),-7 (1),\cellcolor{green!70}0 (1),\cellcolor{green!35}0 (2),\cellcolor{red!70}-5 (1)
german,Reweighing: sex,\cellcolor{green!70}12 (11),69 (4),\cellcolor{red!70}0 (0),\cellcolor{red!70}-2 (10),\cellcolor{red!70}-2 (17),\cellcolor{red!70}-2 (6),\cellcolor{red!70}20 (29),\cellcolor{red!70}19 (47),\cellcolor{red!70}22 (26)
german,Reweighing: age,6 (6),69 (2),\cellcolor{red!70}0 (0),1 (4),0 (8),1 (3),0 (3),0 (5),0 (2)
german,Fair-SMOTE: sex,\cellcolor{green!70}49 (2),\cellcolor{red!70}60 (1),\cellcolor{green!70}48 (0),\cellcolor{red!70}6 (6),1 (8),\cellcolor{red!70}7 (8),\cellcolor{red!70}15 (7),\cellcolor{red!70}11 (13),\cellcolor{red!70}19 (4)
german,Fair-SMOTE: age,\cellcolor{green!70}52 (2),\cellcolor{red!70}60 (2),\cellcolor{green!70}63 (2),\cellcolor{red!70}4 (11),4 (8),\cellcolor{red!70}6 (15),\cellcolor{red!70}2 (8),\cellcolor{red!70}-1 (11),\cellcolor{red!70}6 (8)
german,AdversialDebiasing: sex,\cellcolor{green!70}31 (11),\cellcolor{red!70}66 (5),\cellcolor{green!70}67 (0),\cellcolor{red!70}30 (115),\cellcolor{red!70}43 (137),\cellcolor{red!70}26 (104),\cellcolor{red!70}22 (23),\cellcolor{red!70}24 (32),\cellcolor{red!70}22 (21)
german,AdversialDebiasing: age,\cellcolor{green!70}29 (9),\cellcolor{red!35}52 (36),\cellcolor{green!70}67 (0),\cellcolor{red!70}-1 (37),\cellcolor{red!70}-5 (51),\cellcolor{red!70}0 (35),\cellcolor{red!70}-34 (126),\cellcolor{red!70}-30 (140),\cellcolor{red!70}-35 (126)
german,RejectOptionClassification: sex,\cellcolor{green!70}49 (7),\cellcolor{red!70}59 (5),\cellcolor{green!70}266 (18),\cellcolor{red!35}-3 (6),\cellcolor{red!70}-7 (11),\cellcolor{red!70}-4 (11),\cellcolor{red!70}21 (14),\cellcolor{red!70}15 (14),\cellcolor{red!70}27 (11)
german,RejectOptionClassification: age,\cellcolor{green!70}51 (6),\cellcolor{red!70}58 (3),\cellcolor{green!70}264 (4),\cellcolor{red!70}5 (14),\cellcolor{red!70}-1 (19),\cellcolor{red!70}9 (13),\cellcolor{red!70}-2 (9),\cellcolor{red!70}-9 (15),\cellcolor{red!70}1 (7)
german,FERMI30K,\cellcolor{red!70}0 (0),69 (1),\cellcolor{green!70}31 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0)
german,FERMI10K,\cellcolor{red!70}0 (0),70 (2),\cellcolor{green!70}31 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0)
german,FairBalance,6 (6),70 (1),0 (0),1 (3),1 (5),1 (2),-2 (3),-3 (4),-1 (3)
german,FairBalanceClass,\cellcolor{green!70}53 (3),\cellcolor{red!70}61 (2),0 (0),1 (5),1 (5),\cellcolor{red!70}4 (7),\cellcolor{red!70}7 (6),\cellcolor{red!70}7 (7),\cellcolor{red!70}12 (6)
