Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,R3: 60 (2),R0: 66 (1),R0: 1 (1),R1: 7 (6),R1: 12 (7),R2: 10 (6),R2: 15 (3),R2: 19 (4),R3: 17 (3)
compas,Reweighing: race,R3: 61 (1),R0: 66 (1),R0: 1 (1),R2: 18 (4),R2: 21 (5),R4: 22 (4),R0: 0 (9),R1: 5 (9),R0: 3 (9)
compas,Fair-SMOTE: sex,R2: 62 (2),R1: 65 (1),R5: 581 (49),R0: -3 (6),R0: -3 (6),R0: 0 (6),R0: 5 (13),R1: 7 (12),R1: 7 (11)
compas,Fair-SMOTE: race,R2: 62 (1),R1: 65 (1),R4: 374 (44),R2: 17 (8),R2: 20 (8),R3: 21 (8),R0: -6 (6),R0: -2 (7),R0: -4 (6)
compas,Fair-SMOTE-Multiple,R1: 62 (1),R1: 65 (1),R4: 384 (14),R0: 0 (8),R0: 1 (8),R0: 2 (7),R0: -5 (4),R0: -2 (4),R0: -2 (5)
compas,AdversialDebiasing: sex,R4: 60 (2),R0: 66 (1),R3: 204 (3),R3: 24 (11),R3: 30 (13),R5: 26 (10),R3: 19 (6),R3: 22 (7),R4: 21 (6)
compas,AdversialDebiasing: race,R4: 60 (1),R0: 66 (1),R3: 203 (3),R2: 16 (9),R2: 21 (12),R3: 19 (8),R1: 12 (13),R2: 16 (12),R2: 14 (14)
compas,RejectOptionClassification: sex,R2: 62 (1),R1: 65 (2),R6: 982 (8),R0: -4 (5),R0: -1 (4),R0: -1 (5),R3: 18 (2),R2: 19 (3),R4: 20 (2)
compas,RejectOptionClassification: race,R0: 64 (1),R1: 66 (1),R7: 1009 (4),R3: 20 (4),R2: 21 (6),R5: 24 (5),R0: -5 (3),R0: -3 (4),R0: -2 (2)
compas,FERMI30K,R1: 62 (1),R1: 65 (1),R2: 115 (3),R0: 0 (6),R0: 0 (7),R0: 4 (6),R0: -7 (4),R0: -3 (5),R0: -4 (4)
compas,FERMI10K,R1: 62 (1),R1: 65 (1),R2: 115 (2),R0: 3 (5),R0: 2 (8),R1: 7 (4),R0: -4 (4),R0: 0 (5),R0: -1 (4)
compas,FairBalance,R3: 60 (1),R0: 66 (1),R1: 3 (0),R0: 3 (5),R0: 4 (6),R1: 8 (4),R0: 5 (8),R1: 9 (6),R1: 8 (8)
compas,FairBalanceClass,R1: 62 (1),R1: 65 (1),R1: 3 (0),R0: -1 (6),R0: -1 (8),R0: 2 (6),R0: -2 (4),R0: 0 (6),R0: 0 (4)
adult,Reweighing: sex,R9: 49 (1),R2: 78 (0),R0: 14 (1),R0: 0 (2),R0: 0 (3),R2: -6 (1),R4: -19 (9),R6: -32 (15),R5: -14 (4)
adult,Reweighing: race,R10: 49 (0),R0: 80 (0),R0: 14 (1),R5: -29 (0),R4: -46 (0),R7: -22 (0),R0: 0 (2),R0: -1 (4),R1: -4 (1)
