Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,61 (1),66 (1),1 (0),6 (7),9 (6),9 (7),21 (4),24 (5),25 (3)
compas,Reweighing: race,62 (1),65 (1),1 (0),22 (3),24 (5),25 (3),0 (3),3 (3),3 (3)
compas,Fair-SMOTE: sex,62 (1),65 (1),154 (9),-6 (4),-5 (6),-2 (4),17 (7),19 (9),21 (6)
compas,Fair-SMOTE: race,63 (1),65 (1),69 (6),24 (6),27 (7),27 (4),-4 (6),0 (5),0 (6)
compas,AdversialDebiasing: sex,62 (2),66 (1),210 (6),29 (11),37 (14),31 (11),25 (5),29 (6),28 (6)
compas,AdversialDebiasing: race,61 (1),65 (1),209 (2),17 (5),20 (8),21 (5),5 (17),10 (15),9 (18)
compas,RejectOptionClassification: sex,61 (2),64 (0),760 (17),-3 (8),-2 (9),0 (9),24 (5),26 (6),28 (4)
compas,RejectOptionClassification: race,63 (2),65 (1),785 (66),19 (3),22 (5),24 (3),-1 (5),0 (4),1 (5)
compas,FERMI30K,63 (1),64 (1),52 (1),4 (7),5 (9),8 (6),-5 (3),-3 (3),-1 (3)
compas,FERMI10K,63 (1),65 (1),53 (1),7 (5),7 (6),11 (6),-3 (4),-1 (4),0 (4)
compas,FairBalance,61 (1),65 (1),1 (0),7 (5),7 (7),11 (6),0 (6),3 (7),3 (6)
compas,FairBalanceClass,63 (1),64 (1),1 (0),4 (6),4 (7),8 (6),6 (8),9 (8),10 (7)
adult,Reweighing: sex,49 (1),78 (0),14 (0),0 (1),0 (3),-6 (1),-18 (8),-29 (15),-14 (3)
adult,Reweighing: race,49 (0),80 (0),14 (0),-28 (0),-46 (1),-21 (0),0 (1),0 (3),-4 (0)
adult,Fair-SMOTE: sex,54 (0),68 (1),2676 (248),-1 (1),-1 (2),-9 (1),-25 (4),-26 (5),-29 (4)
adult,Fair-SMOTE: race,57 (0),72 (0),6168 (225),-32 (1),-35 (1),-37 (0),-1 (2),0 (3),-8 (2)
adult,AdversialDebiasing: sex,49 (1),79 (0),1911 (144),-3 (2),-5 (3),-8 (1),-14 (2),-21 (4),-13 (2)
adult,AdversialDebiasing: race,48 (1),80 (0),1893 (606),-29 (1),-46 (1),-21 (0),0 (4),1 (8),-3 (2)
adult,RejectOptionClassification: sex,53 (0),69 (0),6037 (180),4 (1),4 (3),-3 (1),-15 (2),-14 (3),-21 (2)
adult,RejectOptionClassification: race,56 (0),71 (1),6389 (819),-32 (1),-35 (2),-38 (2),3 (1),5 (1),-2 (1)
adult,FERMI30K,51 (0),64 (0),1302 (82),4 (1),3 (3),-3 (2),7 (2),7 (2),2 (3)
adult,FERMI10K,55 (0),69 (0),63 (2),-25 (1),-26 (2),-33 (1),-8 (4),-5 (5),-15 (3)
adult,FairBalance,50 (1),78 (0),19 (0),0 (2),0 (4),-6 (1),0 (2),1 (5),-3 (1)
adult,FairBalanceClass,54 (0),74 (0),17 (0),0 (1),0 (2),-7 (0),-1 (1),0 (2),-6 (1)
german,Reweighing: sex,11 (13),68 (3),0 (0),-1 (8),-1 (12),-1 (7),23 (29),23 (38),23 (26)
german,Reweighing: age,4 (8),70 (2),0 (0),1 (4),2 (6),2 (4),-1 (3),-2 (5),-1 (2)
german,Fair-SMOTE: sex,50 (5),61 (3),50 (3),4 (12),4 (16),5 (11),15 (13),12 (21),20 (12)
german,Fair-SMOTE: age,50 (4),60 (3),66 (2),5 (10),4 (12),7 (9),6 (10),2 (12),12 (10)
german,AdversialDebiasing: sex,28 (17),66 (6),74 (1),0 (74),0 (95),0 (66),17 (34),20 (42),17 (30)
german,AdversialDebiasing: age,32 (13),67 (34),74 (1),13 (37),18 (47),11 (33),24 (164),31 (171),23 (163)
german,RejectOptionClassification: sex,49 (6),59 (2),281 (31),1 (6),2 (10),2 (8),17 (11),13 (16),18 (12)
german,RejectOptionClassification: age,50 (4),56 (2),297 (24),5 (3),3 (8),7 (5),-7 (8),-8 (10),-3 (8)
german,FERMI30K,0 (0),70 (2),32 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
german,FERMI10K,0 (0),70 (3),32 (1),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
german,FairBalance,4 (7),70 (2),0 (0),0 (1),0 (2),0 (1),0 (1),0 (4),0 (1)
german,FairBalanceClass,51 (4),61 (4),0 (0),3 (6),5 (8),6 (6),5 (10),4 (12),9 (10)
