Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,60 (1),66 (0),1 (0),7 (5),11 (6),9 (5),14 (3),19 (5),17 (3)
compas,Reweighing: race,61 (1),66 (0),1 (0),19 (4),22 (5),22 (3),0 (10),4 (11),1 (10)
compas,Fair-SMOTE: sex,61 (2),65 (1),579 (82),-5 (7),-3 (7),-1 (7),5 (10),9 (10),7 (10)
compas,Fair-SMOTE: race,62 (1),65 (1),395 (64),20 (6),21 (9),23 (4),-6 (6),-2 (5),-3 (6)
compas,AdversialDebiasing: sex,61 (2),66 (1),226 (20),27 (11),33 (15),29 (9),19 (5),24 (7),21 (5)
compas,AdversialDebiasing: race,60 (2),66 (1),221 (19),14 (9),19 (10),17 (8),11 (8),15 (8),14 (8)
compas,RejectOptionClassification: sex,62 (2),66 (1),1029 (66),-2 (9),2 (15),0 (7),19 (4),22 (4),21 (4)
compas,RejectOptionClassification: race,62 (2),66 (0),1058 (43),22 (3),23 (7),25 (2),-1 (5),2 (10),0 (5)
compas,FairBalance,60 (2),66 (1),2 (0),4 (5),5 (6),8 (5),3 (10),6 (11),6 (10)
compas,FairBalanceClass,62 (1),65 (1),2 (0),-1 (5),-1 (5),2 (5),-3 (3),0 (5),-1 (3)
adult,Reweighing: sex,49 (0),78 (0),14 (0),0 (1),0 (3),-6 (0),-14 (9),-21 (17),-12 (4)
adult,Reweighing: race,49 (1),80 (0),16 (1),-28 (0),-46 (0),-21 (0),0 (1),0 (3),-4 (0)
adult,Fair-SMOTE: sex,54 (0),69 (2),7710 (2871),-1 (1),-2 (1),-9 (1),-26 (4),-26 (5),-28 (5)
adult,Fair-SMOTE: race,57 (0),72 (0),8863 (1507),-32 (1),-35 (2),-37 (0),-2 (2),0 (3),-8 (2)
adult,AdversialDebiasing: sex,50 (0),79 (0),1445 (33),-3 (2),-5 (4),-8 (1),-14 (3),-21 (4),-13 (2)
adult,AdversialDebiasing: race,48 (1),80 (0),1445 (31),-29 (0),-46 (1),-22 (0),0 (4),1 (6),-3 (3)
adult,RejectOptionClassification: sex,53 (0),70 (1),5954 (242),4 (4),3 (4),-4 (4),-17 (2),-17 (5),-21 (1)
adult,RejectOptionClassification: race,57 (0),71 (0),5666 (52),-34 (0),-37 (2),-39 (1),2 (2),3 (2),-3 (3)
adult,FairBalance,50 (1),78 (0),19 (0),0 (7),0 (12),-6 (3),0 (1),1 (3),-4 (1)
adult,FairBalanceClass,54 (1),73 (1),18 (0),0 (5),-2 (5),-8 (4),-1 (1),0 (2),-6 (2)
german,Reweighing: sex,12 (12),69 (3),0 (0),0 (11),0 (14),0 (10),20 (24),20 (29),20 (23)
german,Reweighing: age,4 (6),69 (2),0 (0),1 (3),2 (4),1 (3),-1 (2),-1 (4),0 (1)
german,Fair-SMOTE: sex,50 (5),62 (2),103 (25),2 (9),0 (13),4 (8),14 (11),13 (16),18 (10)
german,Fair-SMOTE: age,50 (5),60 (3),123 (24),2 (8),4 (12),2 (10),4 (12),1 (15),7 (13)
german,AdversialDebiasing: sex,28 (19),68 (8),67 (1),13 (80),22 (107),11 (66),21 (35),26 (54),20 (30)
german,AdversialDebiasing: age,35 (14),63 (34),68 (0),-4 (38),-8 (49),-1 (37),-26 (144),-30 (148),-20 (143)
german,RejectOptionClassification: sex,53 (4),60 (2),272 (10),3 (6),0 (10),5 (6),16 (14),14 (16),22 (9)
german,RejectOptionClassification: age,49 (4),58 (4),268 (3),6 (9),5 (8),8 (7),1 (9),-1 (11),5 (12)
german,FairBalance,4 (7),70 (2),0 (0),0 (1),0 (2),0 (1),0 (2),0 (5),0 (1)
german,FairBalanceClass,50 (4),59 (3),0 (0),1 (7),0 (10),2 (7),5 (8),4 (13),10 (9)
