Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Fair-SMOTE-Multiple,R0: 62 (1),R1: 65 (1),R3: 400 (54),R0: 0 (10),R0: 0 (8),R0: 2 (9),R0: -2 (5),R0: 1 (7),R0: 0 (5)
compas,FERMI30K,R0: 62 (1),R1: 65 (0),R2: 53 (5),R0: 1 (3),R0: 2 (6),R1: 4 (3),R1: -6 (3),R0: -3 (4),R0: -4 (4)
compas,FERMI10K,R0: 62 (1),R1: 65 (1),R2: 51 (2),R0: 4 (4),R0: 4 (7),R2: 7 (4),R0: -4 (5),R0: -1 (6),R0: -2 (4)
compas,Reweighing-Multiple,R1: 60 (1),R0: 66 (1),R1: 2 (0),R0: 2 (3),R0: 3 (5),R2: 7 (3),R1: 5 (4),R1: 9 (6),R1: 8 (4)
compas,FairBalance,R1: 60 (2),R0: 66 (1),R0: 2 (0),R0: 4 (5),R0: 5 (6),R2: 8 (5),R0: 3 (10),R1: 6 (11),R1: 6 (10)
compas,FairBalanceClass,R0: 62 (1),R1: 65 (1),R0: 2 (0),R0: -1 (5),R0: -1 (5),R0: 2 (5),R0: -3 (3),R0: 0 (5),R0: -1 (3)
adult,Fair-SMOTE-Multiple,R0: 55 (0),R2: 72 (1),R5: 6002 (83),R2: -9 (6),R1: -10 (6),R3: -17 (6),R2: -8 (6),R2: -8 (7),R2: -13 (5)
adult,FERMI30K,R2: 51 (0),R4: 64 (1),R4: 1264 (23),R1: 3 (4),R0: 3 (4),R0: -3 (4),R2: 7 (4),R2: 8 (4),R0: 3 (4)
adult,FERMI10K,R0: 55 (0),R3: 69 (0),R3: 63 (0),R3: -26 (1),R2: -26 (2),R4: -33 (1),R2: -9 (3),R1: -6 (3),R2: -15 (2)
adult,Reweighing-Multiple,R3: 50 (7),R0: 78 (0),R2: 24 (1),R0: 0 (5),R0: -2 (9),R1: -6 (1),R1: 1 (4),R1: 4 (7),R0: -3 (3)
adult,FairBalance,R3: 50 (1),R0: 78 (0),R1: 19 (0),R0: 0 (7),R0: 0 (12),R1: -6 (3),R0: 0 (1),R0: 1 (3),R0: -4 (1)
adult,FairBalanceClass,R1: 54 (1),R1: 73 (1),R0: 18 (0),R0: 0 (5),R0: -2 (5),R2: -8 (4),R1: -1 (1),R0: 0 (2),R1: -6 (2)
german,Fair-SMOTE-Multiple,R0: 49 (5),R1: 61 (3),R4: 121 (5),R2: 3 (7),R2: 6 (10),R2: 5 (10),R2: 9 (13),R2: 10 (18),R2: 11 (13)
german,FERMI30K,R2: 0 (0),R0: 69 (2),R3: 32 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0)
german,FERMI10K,R2: 0 (0),R0: 69 (3),R2: 31 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0)
german,Reweighing-Multiple,R1: 2 (5),R0: 69 (2),R1: 0 (0),R1: 0 (1),R1: 0 (0),R1: 0 (0),R1: 0 (1),R1: 0 (3),R1: 0 (1)
german,FairBalance,R1: 4 (7),R0: 70 (2),R0: 0 (0),R1: 0 (1),R1: 0 (2),R1: 0 (1),R1: 0 (2),R1: 0 (5),R1: 0 (1)
german,FairBalanceClass,R0: 50 (4),R1: 59 (3),R0: 0 (0),R2: 1 (7),R2: 0 (10),R2: 2 (7),R2: 5 (8),R2: 4 (13),R2: 10 (9)
