Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Fair-SMOTE-Multiple,62 (1),65 (1),400 (54),0 (10),0 (8),2 (9),-2 (5),1 (7),0 (5)
compas,FERMI30K,62 (1),65 (0),53 (5),1 (3),2 (6),4 (3),-6 (3),-3 (4),-4 (4)
compas,FERMI10K,62 (1),65 (1),51 (2),4 (4),4 (7),7 (4),-4 (5),-1 (6),-2 (4)
compas,Reweighing-Multiple,60 (1),66 (1),2 (0),2 (3),3 (5),7 (3),5 (4),9 (6),8 (4)
compas,FairBalance,60 (2),66 (1),2 (0),4 (5),5 (6),8 (5),3 (10),6 (11),6 (10)
compas,FairBalanceClass,62 (1),65 (1),2 (0),-1 (5),-1 (5),2 (5),-3 (3),0 (5),-1 (3)
adult,Fair-SMOTE-Multiple,55 (0),72 (1),6002 (83),-9 (6),-10 (6),-17 (6),-8 (6),-8 (7),-13 (5)
adult,FERMI30K,51 (0),64 (1),1264 (23),3 (4),3 (4),-3 (4),7 (4),8 (4),3 (4)
adult,FERMI10K,55 (0),69 (0),63 (0),-26 (1),-26 (2),-33 (1),-9 (3),-6 (3),-15 (2)
adult,Reweighing-Multiple,50 (7),78 (0),24 (1),0 (5),-2 (9),-6 (1),1 (4),4 (7),-3 (3)
adult,FairBalance,50 (1),78 (0),19 (0),0 (7),0 (12),-6 (3),0 (1),1 (3),-4 (1)
adult,FairBalanceClass,54 (1),73 (1),18 (0),0 (5),-2 (5),-8 (4),-1 (1),0 (2),-6 (2)
german,Fair-SMOTE-Multiple,49 (5),61 (3),121 (5),3 (7),6 (10),5 (10),9 (13),10 (18),11 (13)
german,FERMI30K,0 (0),69 (2),32 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
german,FERMI10K,0 (0),69 (3),31 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
german,Reweighing-Multiple,2 (5),69 (2),0 (0),0 (1),0 (0),0 (0),0 (1),0 (3),0 (1)
german,FairBalance,4 (7),70 (2),0 (0),0 (1),0 (2),0 (1),0 (2),0 (5),0 (1)
german,FairBalanceClass,50 (4),59 (3),0 (0),1 (7),0 (10),2 (7),5 (8),4 (13),10 (9)
