Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r4: 0.85 (0.00),r3: 0.91 (0.00),r7: 0.19 (0.03),r6: 0.14 (0.01),r6: 0.13 (0.03),r7: 0.14 (0.01),r0: 1.27 (0.18)
Reweighing,r5: 0.85 (0.00),r4: 0.90 (0.00),r6: 0.17 (0.02),r4: 0.08 (0.01),r6: 0.13 (0.02),r5: 0.05 (0.01),r1: 1.43 (0.12)
FairBalance,r9: 0.82 (0.00),r4: 0.90 (0.00),r1: 0.06 (0.01),r0: 0.02 (0.01),r1: 0.08 (0.01),r0: 0.01 (0.01),r1: 1.39 (0.20)
FairBalanceVariant,r10: 0.81 (0.00),r4: 0.90 (0.00),r2: 0.08 (0.02),r0: 0.02 (0.01),r3: 0.09 (0.01),r1: 0.01 (0.01),r1: 1.42 (0.21)
fairsmote,r6: 0.84 (0.00),r1: 0.92 (0.00),r1: 0.06 (0.01),r2: 0.03 (0.01),r2: 0.09 (0.01),r0: 0.00 (0.00),r7: 137.17 (1.17)
fairsmote-situation,r3: 0.86 (0.00),r0: 0.93 (0.00),r0: 0.04 (0.01),r3: 0.07 (0.01),r1: 0.08 (0.00),r1: 0.01 (0.01),r8: 138.42 (0.81)
Reweighing+fairway,r2: 0.88 (0.00),r3: 0.91 (0.00),r4: 0.12 (0.05),r3: 0.07 (0.03),r4: 0.10 (0.02),r4: 0.04 (0.01),r5: 1.76 (0.03)
FairBalance+fairway,r7: 0.83 (0.00),r2: 0.91 (0.00),r3: 0.10 (0.02),r0: 0.02 (0.01),r0: 0.07 (0.02),r2: 0.01 (0.02),r6: 1.78 (0.04)
FairBalanceVariant+fairway,r8: 0.82 (0.00),r2: 0.91 (0.00),r4: 0.12 (0.02),r2: 0.03 (0.01),r0: 0.07 (0.01),r3: 0.02 (0.01),r6: 1.79 (0.04)
Reweighing+fairsituation,r1: 0.88 (0.00),r3: 0.91 (0.00),r6: 0.16 (0.03),r4: 0.08 (0.02),r5: 0.12 (0.01),r5: 0.05 (0.01),r2: 1.48 (0.04)
FairBalance+fairsituation,r7: 0.83 (0.00),r2: 0.91 (0.00),r2: 0.09 (0.02),r1: 0.02 (0.01),r1: 0.08 (0.01),r3: 0.02 (0.01),r3: 1.52 (0.03)
FairBalanceVariant+fairsituation,r8: 0.82 (0.00),r2: 0.91 (0.00),r4: 0.12 (0.02),r2: 0.03 (0.01),r1: 0.08 (0.01),r2: 0.01 (0.01),r3: 1.53 (0.03)
None+fairway,r0: 0.88 (0.00),r1: 0.92 (0.00),r6: 0.18 (0.08),r5: 0.11 (0.05),r7: 0.15 (0.04),r7: 0.14 (0.02),r4: 1.56 (0.05)
None+fairsituation,r0: 0.88 (0.00),r1: 0.92 (0.00),r5: 0.13 (0.03),r3: 0.07 (0.01),r5: 0.11 (0.02),r6: 0.12 (0.01),r0: 1.30 (0.02)
