Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r2: 0.90 (0.00),r3: 0.91 (0.00),r5: 0.13 (0.02),r5: 0.09 (0.01),r7: 0.09 (0.01),r7: 0.09 (0.00),r0: 0.97 (0.02)
Reweighing,r2: 0.90 (0.00),r4: 0.91 (0.00),r4: 0.09 (0.02),r3: 0.04 (0.01),r6: 0.08 (0.01),r3: 0.03 (0.00),r3: 1.12 (0.03)
FairBalance,r5: 0.85 (0.00),r2: 0.91 (0.00),r2: 0.07 (0.01),r0: 0.00 (0.00),r3: 0.04 (0.01),r0: 0.00 (0.00),r1: 1.05 (0.02)
FairBalanceVariant,r7: 0.84 (0.00),r6: 0.90 (0.00),r0: 0.01 (0.02),r1: 0.01 (0.01),r2: 0.02 (0.01),r0: 0.00 (0.00),r2: 1.09 (0.02)
fairsmote,r10: 0.81 (0.01),r9: 0.89 (0.01),r0: 0.01 (0.01),r1: 0.02 (0.01),r1: 0.01 (0.01),r0: 0.00 (0.00),r9: 357.52 (3.13)
fairsmote-situation,r9: 0.82 (0.01),r8: 0.89 (0.00),r1: 0.03 (0.04),r3: 0.05 (0.03),r0: 0.01 (0.01),r2: 0.00 (0.00),r9: 357.82 (1.76)
Reweighing+fairway,r0: 0.92 (0.00),r2: 0.91 (0.00),r4: 0.11 (0.03),r4: 0.05 (0.01),r7: 0.09 (0.01),r4: 0.04 (0.01),r7: 1.43 (0.04)
FairBalance+fairway,r3: 0.86 (0.00),r0: 0.92 (0.00),r3: 0.08 (0.02),r0: 0.01 (0.00),r4: 0.05 (0.01),r1: 0.00 (0.00),r5: 1.35 (0.05)
FairBalanceVariant+fairway,r4: 0.85 (0.01),r2: 0.91 (0.00),r0: 0.01 (0.02),r2: 0.02 (0.02),r2: 0.02 (0.01),r0: 0.00 (0.00),r7: 1.42 (0.04)
Reweighing+fairsituation,r1: 0.92 (0.00),r5: 0.91 (0.00),r4: 0.11 (0.02),r3: 0.05 (0.01),r6: 0.08 (0.02),r3: 0.03 (0.01),r8: 1.45 (0.03)
FairBalance+fairsituation,r6: 0.84 (0.00),r2: 0.91 (0.00),r2: 0.07 (0.01),r0: 0.01 (0.01),r3: 0.04 (0.01),r0: 0.00 (0.00),r6: 1.38 (0.03)
FairBalanceVariant+fairsituation,r8: 0.83 (0.00),r7: 0.90 (0.00),r0: 0.01 (0.01),r2: 0.02 (0.01),r1: 0.01 (0.01),r0: 0.00 (0.00),r7: 1.43 (0.04)
None+fairway,r0: 0.92 (0.00),r1: 0.91 (0.00),r2: 0.08 (0.03),r4: 0.05 (0.01),r5: 0.07 (0.02),r5: 0.07 (0.01),r4: 1.27 (0.02)
None+fairsituation,r1: 0.92 (0.00),r4: 0.91 (0.00),r1: 0.02 (0.02),r1: 0.02 (0.01),r6: 0.08 (0.01),r6: 0.08 (0.00),r4: 1.27 (0.02)
