Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r2: 0.81 (0.00),r1: 0.72 (0.00),r3: 0.04 (0.00),r3: 0.06 (0.01),r6: 0.08 (0.00),r6: 0.08 (0.00),r0: 0.68 (0.01)
Reweighing,r2: 0.81 (0.00),r2: 0.72 (0.00),r0: 0.01 (0.00),r2: 0.05 (0.01),r0: 0.01 (0.00),r3: 0.01 (0.00),r2: 0.86 (0.01)
FairBalance,r4: 0.69 (0.01),r2: 0.72 (0.00),r6: 0.17 (0.02),r6: 0.12 (0.01),r2: 0.01 (0.00),r1: 0.00 (0.00),r2: 0.85 (0.02)
FairBalanceVariant,r5: 0.68 (0.01),r2: 0.72 (0.00),r5: 0.16 (0.01),r5: 0.11 (0.02),r1: 0.01 (0.00),r0: 0.00 (0.00),r2: 0.85 (0.02)
fairsmote,r6: 0.68 (0.01),r2: 0.72 (0.01),r5: 0.16 (0.02),r5: 0.11 (0.01),r1: 0.01 (0.01),r0: 0.00 (0.00),r6: 612.28 (4.16)
fairsmote-situation,r3: 0.71 (0.01),r0: 0.75 (0.01),r4: 0.10 (0.04),r4: 0.07 (0.02),r3: 0.04 (0.02),r4: 0.03 (0.01),r6: 611.67 (2.56)
Reweighing+fairway,r0: 0.82 (0.00),r6: 0.70 (0.00),r0: 0.01 (0.00),r0: 0.03 (0.01),r0: 0.01 (0.00),r2: 0.01 (0.00),r5: 1.06 (0.02)
FairBalance+fairway,r9: 0.66 (0.01),r6: 0.70 (0.00),r8: 0.19 (0.03),r7: 0.14 (0.02),r1: 0.01 (0.00),r0: 0.00 (0.00),r5: 1.05 (0.02)
FairBalanceVariant+fairway,r10: 0.65 (0.01),r6: 0.70 (0.01),r8: 0.19 (0.02),r8: 0.14 (0.01),r1: 0.01 (0.00),r0: 0.00 (0.00),r5: 1.05 (0.02)
Reweighing+fairsituation,r1: 0.82 (0.00),r4: 0.71 (0.01),r1: 0.01 (0.00),r0: 0.03 (0.01),r0: 0.01 (0.00),r2: 0.01 (0.00),r3: 0.94 (0.01)
FairBalance+fairsituation,r7: 0.67 (0.00),r4: 0.71 (0.00),r7: 0.18 (0.02),r7: 0.14 (0.02),r2: 0.01 (0.00),r1: 0.00 (0.01),r3: 0.94 (0.01)
FairBalanceVariant+fairsituation,r8: 0.67 (0.01),r4: 0.71 (0.01),r7: 0.18 (0.01),r6: 0.13 (0.01),r1: 0.01 (0.00),r0: 0.00 (0.00),r4: 0.94 (0.01)
None+fairway,r0: 0.82 (0.00),r5: 0.71 (0.01),r2: 0.03 (0.01),r1: 0.05 (0.01),r4: 0.08 (0.00),r5: 0.08 (0.00),r2: 0.86 (0.02)
None+fairsituation,r1: 0.82 (0.00),r3: 0.71 (0.00),r2: 0.03 (0.01),r1: 0.04 (0.01),r5: 0.08 (0.00),r5: 0.08 (0.01),r1: 0.74 (0.01)
